,person_id,id,name,role
4302,124720,tm44046,G.W. Pabst,DIRECTOR
4309,21759,tm7631,Charlie Chaplin,DIRECTOR
4319,21759,tm123277,Charlie Chaplin,DIRECTOR
4331,32913,tm1148,George Stevens,DIRECTOR
4342,138494,tm116832,Kenji Mizoguchi,DIRECTOR
4344,132041,tm17732,Walter Ruttmann,DIRECTOR
4359,35531,tm45502,Mervyn LeRoy,DIRECTOR
4391,151517,tm4895,Alfred E. Green,DIRECTOR
4398,21759,tm407443,Charlie Chaplin,DIRECTOR
4420,222571,tm101621,Paul Czinner,DIRECTOR
4421,72302,tm101621,Alexander Korda,DIRECTOR
4430,21759,tm78145,Charlie Chaplin,DIRECTOR
4434,71801,tm7568,Roberto Rossellini,DIRECTOR
4436,120559,tm66060,Georges Méliès,DIRECTOR
4463,153128,tm117793,Gustaf Molander,DIRECTOR
4473,219569,tm6444,Bretaigne Windust,DIRECTOR
4474,154742,tm4193,Arnold Fanck,DIRECTOR
4475,582830,tm4193,Othmar Gurtner,DIRECTOR
4503,199942,tm84135,Gabriel Pascal,DIRECTOR
4536,58277,tm132060,Raoul Walsh,DIRECTOR
4544,69974,tm1665,Hal Roach,DIRECTOR
4554,155930,tm8534,Sidney Olcott,DIRECTOR
4567,138549,tm137977,James Cruze,DIRECTOR
4575,21759,tm1530,Charlie Chaplin,DIRECTOR
4586,21759,tm88017,Charlie Chaplin,DIRECTOR
4599,60744,tm6865,Sam Taylor,DIRECTOR
4600,60743,tm6865,Fred C. Newmeyer,DIRECTOR
4606,21759,tm106357,Charlie Chaplin,DIRECTOR
4611,21759,tm85287,Charlie Chaplin,DIRECTOR
4623,21759,tm177,Charlie Chaplin,DIRECTOR
4631,60743,tm123460,Fred C. Newmeyer,DIRECTOR
4647,124720,tm49428,G.W. Pabst,DIRECTOR
4649,120559,tm13007,Georges Méliès,DIRECTOR
4651,120559,tm34570,Georges Méliès,DIRECTOR
4652,120559,tm1889,Georges Méliès,DIRECTOR
4664,21759,tm24597,Charlie Chaplin,DIRECTOR
4674,72124,tm148296,Carl Theodor Dreyer,DIRECTOR
4675,741020,tm364751,Jean de Rovera,DIRECTOR
4677,120559,tm54582,Georges Méliès,DIRECTOR
4688,573700,tm101429,Walter Summers,DIRECTOR
4693,563413,tm352012,Castleton Knight,DIRECTOR
4705,219928,tm4261,William J. Cowen,DIRECTOR
4724,60743,tm89942,Fred C. Newmeyer,DIRECTOR
4725,60744,tm89942,Sam Taylor,DIRECTOR
4770,134042,tm163133,Lewis Seiler,DIRECTOR
4771,154612,tm163133,E.A. Dupont,DIRECTOR
4773,120559,tm29593,Georges Méliès,DIRECTOR
4780,57396,tm100859,Frank Terry,DIRECTOR
4781,60738,tm100859,Harold Lloyd,DIRECTOR
4790,575378,tm7399,Hanns Schwarz,DIRECTOR
4791,741020,tm364103,Jean de Rovera,DIRECTOR
4801,69974,tm100049,Hal Roach,DIRECTOR
4816,219936,tm102106,Alfred J. Goulding,DIRECTOR
4826,69974,tm100035,Hal Roach,DIRECTOR
4842,69974,tm102776,Hal Roach,DIRECTOR
4860,69974,tm98205,Hal Roach,DIRECTOR
4861,578881,tm364116,Wilhelm Prager,DIRECTOR
4862,741020,tm364753,Jean de Rovera,DIRECTOR
4872,69974,tm103554,Hal Roach,DIRECTOR
4873,224134,tm97341,János Tóth,DIRECTOR
4934,21108,tm362,Stanley Kubrick,DIRECTOR
4943,26436,tm76285,Andrei Tarkovsky,DIRECTOR
5002,13717,tm42704,William Wyler,DIRECTOR
5049,149860,tm15070,Mel Stuart,DIRECTOR
5055,46445,ts22230,William Hanna,DIRECTOR
5056,46444,ts22230,Joseph Barbera,DIRECTOR
5057,210932,ts22230,Charles A. Nichols,DIRECTOR
5099,17776,tm109939,Roman Polanski,DIRECTOR
5255,14168,tm60665,Gene Kelly,DIRECTOR
5256,14167,tm60665,Stanley Donen,DIRECTOR
5299,19352,tm190036,Richard Fleischer,DIRECTOR
5334,7235,tm127410,Miloš Forman,DIRECTOR
5391,8407,tm99370,Harold Ramis,DIRECTOR
5430,21108,tm11500,Stanley Kubrick,DIRECTOR
5489,21376,tm84964,Alan J. Pakula,DIRECTOR
5590,29799,tm18043,Akira Kurosawa,DIRECTOR
5648,14084,tm1183,Blake Edwards,DIRECTOR
5701,15571,tm93829,Paul Schrader,DIRECTOR
5738,8055,tm85518,Sidney Lumet,DIRECTOR
5786,25114,tm49355,Jerome Robbins,DIRECTOR
5787,15273,tm49355,Robert Wise,DIRECTOR
